iter	Passed	Remaining
1215	12115	17775
1216	12124	17763
1217	12132	17750
1218	12141	17738
1219	12149	17726
1220	12158	17714
1221	12168	17704
1222	12177	17693
1223	12186	17682
1224	12197	17673
1225	12206	17662
1226	12214	17650
1227	12223	17638
1228	12232	17626
1229	12240	17614
1230	12249	17602
1231	12258	17591
1232	12266	17579
1233	12276	17569
1234	12286	17559
1235	12295	17547
1236	12305	17537
1237	12314	17527
1238	12324	17516
1239	12333	17505
1240	12342	17494
1241	12352	17484
1242	12362	17474
1243	12371	17463
1244	12381	17453
1245	12400	17456
1246	12411	17447
1247	12420	17436
1248	12430	17426
1249	12440	17416
1250	12449	17405
1251	12459	17395
1252	12468	17384
1253	12477	17373
1254	12487	17362
1255	12497	17352
1256	12506	17341
1257	12516	17331
1258	12530	17327
1259	12539	17316
1260	12548	17305
1261	12560	17298
1262	12570	17287
1263	12578	17276
1264	12587	17264
1265	12599	17257
1266	12608	17246
1267	12617	17235
1268	12628	17226
1269	12637	17214
1270	12646	17204
1271	12656	17193
1272	12666	17184
1273	12677	17174
1274	12686	17163
1275	12696	17154
1276	12706	17144
1277	12716	17134
1278	12726	17124
1279	12735	17113
1280	12745	17103
1281	12754	17092
1282	12764	17081
1283	12772	17070
1284	12781	17058
1285	12790	17046
1286	12798	17034
1287	12808	17024
1288	12818	17014
1289	12827	17003
1290	12836	16992
1291	12845	16981
1292	12854	16970
1293	12864	16959
1294	12874	16950
1295	12885	16942
1296	12895	16932
1297	12905	16921
1298	12915	16912
1299	12926	16904
1300	12935	16893
1301	12946	16883
1302	12955	16873
1303	12964	16861
1304	12975	16852
1305	12985	16843
1306	12993	16831
1307	13003	16820
1308	13013	16811
1309	13022	16800
1310	13031	16788
1311	13040	16777
1312	13050	16768
1313	13061	16759
1314	13070	16748
1315	13083	16741
1316	13093	16732
1317	13103	16722
1318	13111	16709
1319	13120	16699
1320	13129	16688
1321	13140	16679
1322	13149	16667
1323	13158	16656
1324	13167	16645
1325	13179	16638
1326	13189	16628
1327	13199	16618
1328	13208	16606
1329	13217	16596
1330	13227	16586
1331	13237	16576
1332	13246	16565
1333	13255	16554
1334	13265	16544
1335	13276	16536
1336	13284	16524
1337	13293	16513
1338	13302	16501
1339	13311	16490
1340	13320	16478
1341	13328	16467
1342	13337	16455
1343	13346	16444
1344	13355	16433
1345	13367	16425
1346	13376	16415
1347	13386	16405
1348	13397	16397
1349	13407	16386
1350	13418	16378
1351	13426	16366
1352	13436	16356
1353	13445	16345
1354	13455	16335
1355	13466	16326
1356	13474	16314
1357	13483	16303
1358	13492	16292
1359	13501	16281
1360	13511	16271
1361	13520	16259
1362	13529	16249
1363	13538	16238
1364	13548	16227
1365	13557	16217
1366	13567	16206
1367	13576	16197
1368	13588	16189
1369	13599	16179
1370	13608	16169
1371	13617	16158
1372	13628	16149
1373	13637	16138
1374	13648	16129
1375	13657	16118
