iter	MAPE	RMSE	R2	MAE
1854	0.002839219452	0.06012399355	0.9955628674	0.03781295349
1855	0.002839193406	0.06012356471	0.9955629307	0.03781267154
1856	0.002839185067	0.06012332736	0.9955629657	0.03781254695
1857	0.002839135963	0.06012211336	0.9955631449	0.03781184291
1858	0.002839088552	0.06011986405	0.9955634769	0.03781123588
1859	0.002839023994	0.06011708835	0.9955638865	0.03781038826
1860	0.002839008805	0.06011688652	0.9955639163	0.03781015741
1861	0.002838905694	0.06011565745	0.9955640977	0.03780878077
1862	0.002838870211	0.06011499185	0.9955641959	0.03780825983
1863	0.002838832145	0.06011437885	0.9955642864	0.03780769712
1864	0.002838827968	0.06011373337	0.9955643817	0.03780763644
1865	0.002838744766	0.06011177793	0.9955646702	0.03780659299
1866	0.002838686513	0.06011058647	0.9955648461	0.03780581921
1867	0.00283861599	0.06010909397	0.9955650663	0.03780485619
1868	0.002838598901	0.06010830193	0.9955651832	0.03780460625
1869	0.002838532724	0.06010754153	0.9955652954	0.03780367653
1870	0.002838484782	0.06010560133	0.9955655817	0.03780303943
1871	0.002838446057	0.06010442697	0.9955657549	0.03780257761
1872	0.002838404165	0.06010355098	0.9955658842	0.03780205117
1873	0.002838331941	0.06010223072	0.995566079	0.03780112039
1874	0.002838261104	0.06010092839	0.9955662712	0.03780023921
1875	0.002838206318	0.0601001882	0.9955663804	0.03779943106
1876	0.002838196857	0.06009883856	0.9955665795	0.03779931188
1877	0.002838157859	0.06009783233	0.9955667279	0.03779879662
1878	0.002838118458	0.06009625265	0.995566961	0.0377982392
1879	0.002838075688	0.06009554412	0.9955670655	0.03779762059
1880	0.002838027254	0.0600948228	0.9955671719	0.03779693141
1881	0.002837939935	0.06009261897	0.9955674971	0.0377957549
1882	0.002837841199	0.06009125451	0.9955676984	0.03779446366
1883	0.002837779386	0.06009049744	0.99556781	0.03779359725
1884	0.00283772989	0.06008994588	0.9955678914	0.03779286596
1885	0.002837626138	0.06008879071	0.9955680618	0.03779162399
1886	0.002837612868	0.06008844449	0.9955681129	0.0377914885
1887	0.002837584192	0.06008739667	0.9955682674	0.03779107456
1888	0.002837517404	0.06008633084	0.9955684247	0.03779014873
1889	0.002837454819	0.06008505587	0.9955686127	0.03778933163
1890	0.002837400688	0.06008408035	0.9955687566	0.0377886203
1891	0.002837327797	0.06008334197	0.9955688655	0.03778763167
1892	0.002837273992	0.06008270558	0.9955689594	0.03778686132
1893	0.002837201364	0.06008198822	0.9955690652	0.03778589668
